Index,Forme erronée,Forme correcte,Lemme,Phrase ou syntagme,Type de l'erreur,Texte,Corpus
352,multiple,multiples,multiple,L’agriculture est devenue une agriculture intensive utilisent de <err>multiple</err> pesticide afin d’éliminer es insecte et d’utilisation d’ogm et d’engrais chimique afin d’augment considérablement la croissance des plante .,accord,texte2_terminale_raw.txt,corpus1
353,pesticide,pesticides,pesticide,L’agriculture est devenue une agriculture intensive utilisent de multiple <err>pesticide</err> afin d’éliminer es insecte et d’utilisation d’ogm et d’engrais chimique afin d’augment considérablement la croissance des plante .,accord,texte2_terminale_raw.txt,corpus1
354,es,les,le,L’agriculture est devenue une agriculture intensive utilisent de multiple pesticide afin d’éliminer <err>es</err> insecte et d’utilisation d’ogm et d’engrais chimique afin d’augment considérablement la croissance des plante .,omission,texte2_terminale_raw.txt,corpus1
355,insecte,insectes,insecte,L’agriculture est devenue une agriculture intensive utilisent de multiple pesticide afin d’éliminer es <err>insecte</err> et d’utilisation d’ogm et d’engrais chimique afin d’augment considérablement la croissance des plante .,accord,texte2_terminale_raw.txt,corpus1
356,ogm,OGM,,L’agriculture est devenue une agriculture intensive utilisent de multiple pesticide afin d’éliminer es insecte et d’utilisation d’<err>ogm</err> et d’engrais chimique afin d’augment considérablement la croissance des plante .,majuscule,texte2_terminale_raw.txt,corpus1
357,chimique,chimiques,chimique,L’agriculture est devenue une agriculture intensive utilisent de multiple pesticide afin d’éliminer es insecte et d’utilisation d’ogm et d’engrais <err>chimique</err> afin d’augment considérablement la croissance des plante .,accord,texte2_terminale_raw.txt,corpus1
358,augment,augmenter,augmenter,L’agriculture est devenue une agriculture intensive utilisent de multiple pesticide afin d’éliminer es insecte et d’utilisation d’ogm et d’engrais chimique afin d’<err>augment</err> considérablement la croissance des plante .,omission,texte2_terminale_raw.txt,corpus1
359,plante,plantes,plante,L’agriculture est devenue une agriculture intensive utilisent de multiple pesticide afin d’éliminer es insecte et d’utilisation d’ogm et d’engrais chimique afin d’augment considérablement la croissance des <err>plante</err> .,accord,texte2_terminale_raw.txt,corpus1
360,hais,haies,haie, Pour finir l’ablation des <err>hais</err> dans les champs par le remembrement a permie d’augmenter leur taille a 50 hectar ,lettre muette,texte2_terminale_raw.txt,corpus1
361,permie,permis,permettre, Pour finir l’ablation des hais dans les champs par le remembrement a <err>permie</err> d’augmenter leur taille a 50 hectar ,lettre muette,texte2_terminale_raw.txt,corpus1
362,a,à,à, Pour finir l’ablation des hais dans les champs par le remembrement a permie d’augmenter leur taille <err>a</err> 50 hectar ,homophones,texte2_terminale_raw.txt,corpus1
363,hectar,hectares,hectare, Pour finir l’ablation des hais dans les champs par le remembrement a permie d’augmenter leur taille a 50 <err>hectar</err> ,lettre muette,texte2_terminale_raw.txt,corpus1
364,,,,,accord,texte2_terminale_raw.txt,corpus1
365,grace,grâce,grâce,<err>grace</err> au diver meusure entreprise vise a vie de l’agréculture ont permie un agriculture plus rapide et plus efficace,phonétisation,texte2_terminale_raw.txt,corpus1
366,au,aux,au,grace <err>au</err> diver meusure entreprise vise a vie de l’agréculture ont permie un agriculture plus rapide et plus efficace,accord,texte2_terminale_raw.txt,corpus1
367,diver,diverses,divers,grace au <err>diver</err> meusure entreprise vise a vie de l’agréculture ont permie un agriculture plus rapide et plus efficace,lettre muette,texte2_terminale_raw.txt,corpus1
368,,,,,accord,texte2_terminale_raw.txt,corpus1
369,,,,,accord,texte2_terminale_raw.txt,corpus1
370,meusure,mesures,mesure,grace au diver <err>meusure</err> entreprise vise a vie de l’agréculture ont permie un agriculture plus rapide et plus efficace,phonétisation,texte2_terminale_raw.txt,corpus1
371,,,,,accord,texte2_terminale_raw.txt,corpus1
372,entreprise,entreprises,entrepris,grace au diver meusure <err>entreprise</err> vise a vie de l’agréculture ont permie un agriculture plus rapide et plus efficace,accord,texte2_terminale_raw.txt,corpus1
373,vise a vie,vis-à-vis,vis-à-vis,grace au diver meusure entreprise <err>vise a vie</err> de l’agréculture ont permie un agriculture plus rapide et plus efficace,phonétisation,texte2_terminale_raw.txt,corpus1
374,,,,,trait d'union,texte2_terminale_raw.txt,corpus1
375,,,,,homophones,texte2_terminale_raw.txt,corpus1
376,,,,,trait d'union,texte2_terminale_raw.txt,corpus1
377,,,,,homophones,texte2_terminale_raw.txt,corpus1
378,agréculture,agriculture,agriculture,grace au diver meusure entreprise vise a vie de l’<err>agréculture</err> ont permie un agriculture plus rapide et plus efficace,approximation,texte2_terminale_raw.txt,corpus1
379,permie,permis,permettre,grace au diver meusure entreprise vise a vie de l’agréculture ont <err>permie</err> un agriculture plus rapide et plus efficace,lettre muette,texte2_terminale_raw.txt,corpus1
380,un,une,un,grace au diver meusure entreprise vise a vie de l’agréculture ont permie <err>un</err> agriculture plus rapide et plus efficace,accord,texte2_terminale_raw.txt,corpus1
381,éléve,élève,élever, cette agriculture rapide et efficace s’<err>éléve</err> au rand deux deuxiem modial et contribue grandement a la 5em place que a la France au nivaux mondiale,approximation,texte2_terminale_raw.txt,corpus1
382,rand,rang,rang, cette agriculture rapide et efficace s’éléve au <err>rand</err> deux deuxiem modial et contribue grandement a la 5em place que a la France au nivaux mondiale,lettre muette,texte2_terminale_raw.txt,corpus1
383,deux,,, cette agriculture rapide et efficace s’éléve au rand <err>deux</err> deuxiem modial et contribue grandement a la 5em place que a la France au nivaux mondiale,ajout mot,texte2_terminale_raw.txt,corpus1
384,deuxiem,deuxième,deuxième, cette agriculture rapide et efficace s’éléve au rand deux <err>deuxiem</err> modial et contribue grandement a la 5em place que a la France au nivaux mondiale,approximation,texte2_terminale_raw.txt,corpus1
385,,,,,lettre muette,texte2_terminale_raw.txt,corpus1
386,modial,mondial,mondial, cette agriculture rapide et efficace s’éléve au rand deux deuxiem <err>modial</err> et contribue grandement a la 5em place que a la France au nivaux mondiale,omission,texte2_terminale_raw.txt,corpus1
387,a,à,à, cette agriculture rapide et efficace s’éléve au rand deux deuxiem modial et contribue grandement <err>a</err> la 5em place que a la France au nivaux mondiale,homophones,texte2_terminale_raw.txt,corpus1
388,5em,5ème,, cette agriculture rapide et efficace s’éléve au rand deux deuxiem modial et contribue grandement a la <err>5em</err> place que a la France au nivaux mondiale,approximation,texte2_terminale_raw.txt,corpus1
389,,,,,lettre muette,texte2_terminale_raw.txt,corpus1
390,que a,qu'a,que;avoir, cette agriculture rapide et efficace s’éléve au rand deux deuxiem modial et contribue grandement a la 5em place <err>que a</err> la France au nivaux mondiale,apostrophe,texte2_terminale_raw.txt,corpus1
391,nivaux,niveau,niveau, cette agriculture rapide et efficace s’éléve au rand deux deuxiem modial et contribue grandement a la 5em place que a la France au <err>nivaux</err> mondiale,phonétisation,texte2_terminale_raw.txt,corpus1
392,,,,,accord,texte2_terminale_raw.txt,corpus1
393,mondiale,mondial,mondial, cette agriculture rapide et efficace s’éléve au rand deux deuxiem modial et contribue grandement a la 5em place que a la France au nivaux <err>mondiale</err>,accord,texte2_terminale_raw.txt,corpus1
394,et,est,être, une telle culture <err>et</err> adapter au marcher de l’éxportation actuel,homophones,texte2_terminale_raw.txt,corpus1
395,adapter,adaptée,adapté, une telle culture et <err>adapter</err> au marcher de l’éxportation actuel,accord,texte2_terminale_raw.txt,corpus1
396,marcher,marché,marché, une telle culture et adapter au <err>marcher</err> de l’éxportation actuel,phonétisation,texte2_terminale_raw.txt,corpus1
397,éxportation,exportation,exportation, une telle culture et adapter au marcher de l’<err>éxportation</err> actuel,approximation,texte2_terminale_raw.txt,corpus1
398,tout,Tous,tout,<err>tout</err> c’est changement dans l’agreculture fransaise sont la cause de nombreu probléme environementaux et humain ,majuscule,texte2_terminale_raw.txt,corpus1
399,,,,,homophones,texte2_terminale_raw.txt,corpus1
400,c'est,ces,ce,tout <err>c'est</err> changement dans l’agreculture fransaise sont la cause de nombreu probléme environementaux et humain ,homophones,texte2_terminale_raw.txt,corpus1
401,changement,changements,changement,tout c’est <err>changement</err> dans l’agreculture fransaise sont la cause de nombreu probléme environementaux et humain ,accord,texte2_terminale_raw.txt,corpus1
402,agreculture,agriculture,agriculture,tout c’est changement dans l’<err>agreculture</err> fransaise sont la cause de nombreu probléme environementaux et humain ,approximation,texte2_terminale_raw.txt,corpus1
403,fransaise,française,français,tout c’est changement dans l’agreculture <err>fransaise</err> sont la cause de nombreu probléme environementaux et humain ,phonétisation,texte2_terminale_raw.txt,corpus1
404,nombreu,nombreux,nombreux,tout c’est changement dans l’agreculture fransaise sont la cause de <err>nombreu</err> probléme environementaux et humain ,accord,texte2_terminale_raw.txt,corpus1
405,probléme,problèmes,problème,tout c’est changement dans l’agreculture fransaise sont la cause de nombreu <err>probléme</err> environementaux et humain ,approximation,texte2_terminale_raw.txt,corpus1
406,,,,,accord,texte2_terminale_raw.txt,corpus1
407,environementaux,environnementaux,environnemental,tout c’est changement dans l’agreculture fransaise sont la cause de nombreu probléme <err>environementaux</err> et humain ,phonétisation,texte2_terminale_raw.txt,corpus1
408,humain,humains,humain,tout c’est changement dans l’agreculture fransaise sont la cause de nombreu probléme environementaux et <err>humain</err> ,accord,texte2_terminale_raw.txt,corpus1
409,depuis,Depuis,depuis,<err>depuis</err> quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,majuscule,texte2_terminale_raw.txt,corpus1
410,quelque,quelques,quelque,depuis <err>quelque</err> annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,accord,texte2_terminale_raw.txt,corpus1
411,annes,années,année,depuis quelque <err>annes</err> lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,approximation,texte2_terminale_raw.txt,corpus1
412,lutilsation,l'utilisation,le;utilisation,depuis quelque annes <err>lutilsation</err> exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,apostrophe,texte2_terminale_raw.txt,corpus1
413,,,,,omission,texte2_terminale_raw.txt,corpus1
414,exesive,excessive,excessif,depuis quelque annes lutilsation <err>exesive</err> des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,approximation,texte2_terminale_raw.txt,corpus1
415,,,,,approximation,texte2_terminale_raw.txt,corpus1
416,angrais,engrais,engrais,depuis quelque annes lutilsation exesive des <err>angrais</err> chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,phonétisation,texte2_terminale_raw.txt,corpus1
417,chimique,chimiques,chimique,depuis quelque annes lutilsation exesive des angrais <err>chimique</err> et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,accord,texte2_terminale_raw.txt,corpus1
418,pestiside,pesticides,pesticide,depuis quelque annes lutilsation exesive des angrais chimique et des <err>pestiside</err> créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,approximation,texte2_terminale_raw.txt,corpus1
419,,,,,accord,texte2_terminale_raw.txt,corpus1
420,créé,crée,créer,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside <err>créé</err> beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,accord,texte2_terminale_raw.txt,corpus1
421,polution,pollution,pollution,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de <err>polution</err> qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,phonétisation,texte2_terminale_raw.txt,corpus1
422,nuise,nuit,nuire,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui <err>nuise</err> gravement a l’environement et aux terre au qulle  ces produit chimique sont appliquer,conjugaison,texte2_terminale_raw.txt,corpus1
423,a,à,à,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement <err>a</err> l’environement et aux terre au qulle  ces produit chimique sont appliquer,homophones,texte2_terminale_raw.txt,corpus1
424,environement,environnement,environnement,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’<err>environement</err> et aux terre au qulle  ces produit chimique sont appliquer,phonétisation,texte2_terminale_raw.txt,corpus1
425,terre,terres,terre,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux <err>terre</err> au qulle  ces produit chimique sont appliquer,accord,texte2_terminale_raw.txt,corpus1
426,au qulle,auxquelles,auquel,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre <err>au qulle</err>  ces produit chimique sont appliquer,accord,texte2_terminale_raw.txt,corpus1
427,,,,,segmentation,texte2_terminale_raw.txt,corpus1
428,,,,,omission,texte2_terminale_raw.txt,corpus1
429,,,,,accord,texte2_terminale_raw.txt,corpus1
430,produit,produits,produit,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces <err>produit</err> chimique sont appliquer,accord,texte2_terminale_raw.txt,corpus1
431,chimique,chimiques,chimique,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit <err>chimique</err> sont appliquer,accord,texte2_terminale_raw.txt,corpus1
432,appliquer,appliqués,appliquer,depuis quelque annes lutilsation exesive des angrais chimique et des pestiside créé beaucoup de polution qui nuise gravement a l’environement et aux terre au qulle  ces produit chimique sont <err>appliquer</err>,phonétisation,texte2_terminale_raw.txt,corpus1
433,,,,,accord,texte2_terminale_raw.txt,corpus1
434,apres,après,après, <err>apres</err> de telle traitemenr la terre devien de plus en plus dure a cultiver et les plantation sont de moins en moins fast,approximation,texte2_terminale_raw.txt,corpus1
435,telle,tels,tel, apres de <err>telle</err> traitemenr la terre devien de plus en plus dure a cultiver et les plantation sont de moins en moins fast,accord,texte2_terminale_raw.txt,corpus1
436,,,,,accord,texte2_terminale_raw.txt,corpus1
437,traitemenr,traitements,traitement, apres de telle <err>traitemenr</err> la terre devien de plus en plus dure a cultiver et les plantation sont de moins en moins fast,substitution,texte2_terminale_raw.txt,corpus1
438,,,,,accord,texte2_terminale_raw.txt,corpus1
439,devien,devient,devenir, apres de telle traitemenr la terre <err>devien</err> de plus en plus dure a cultiver et les plantation sont de moins en moins fast,conjugaison,texte2_terminale_raw.txt,corpus1
440,a,à,à, apres de telle traitemenr la terre devien de plus en plus dure <err>a</err> cultiver et les plantation sont de moins en moins fast,homophones,texte2_terminale_raw.txt,corpus1
441,plantation,plantations,plantation, apres de telle traitemenr la terre devien de plus en plus dure a cultiver et les <err>plantation</err> sont de moins en moins fast,accord,texte2_terminale_raw.txt,corpus1
442,fast,fastes,faste, apres de telle traitemenr la terre devien de plus en plus dure a cultiver et les plantation sont de moins en moins <err>fast</err>,lettre muette,texte2_terminale_raw.txt,corpus1
443,,,,,accord,texte2_terminale_raw.txt,corpus1
444,supréstion,suppression,suppression,  de plus la <err>supréstion</err> des hais qui délimiter les exploitation a tuer un grand nombre d’éspéce dinsecte qui vivais dans ces hais,phonétisation,texte2_terminale_raw.txt,corpus1
445,,,,,approximation,texte2_terminale_raw.txt,corpus1
446,,,,,approximation,texte2_terminale_raw.txt,corpus1
447,hais,haies,haie,  de plus la supréstion des <err>hais</err> qui délimiter les exploitation a tuer un grand nombre d’éspéce dinsecte qui vivais dans ces hais,lettre muette,texte2_terminale_raw.txt,corpus1
448,délimiter,délimitaient,délimiter,  de plus la supréstion des hais qui <err>délimiter</err> les exploitation a tuer un grand nombre d’éspéce dinsecte qui vivais dans ces hais,approximation,texte2_terminale_raw.txt,corpus1
449,,,,,conjugaison,texte2_terminale_raw.txt,corpus1
450,exploitation,exploitations,exploitation,  de plus la supréstion des hais qui délimiter les <err>exploitation</err> a tuer un grand nombre d’éspéce dinsecte qui vivais dans ces hais,accord,texte2_terminale_raw.txt,corpus1
451,tuer,tué,tuer,  de plus la supréstion des hais qui délimiter les exploitation a <err>tuer</err> un grand nombre d’éspéce dinsecte qui vivais dans ces hais,conjugaison,texte2_terminale_raw.txt,corpus1
452,éspéce,espèces,espèce,  de plus la supréstion des hais qui délimiter les exploitation a tuer un grand nombre d’<err>éspéce</err> dinsecte qui vivais dans ces hais,approximation,texte2_terminale_raw.txt,corpus1
453,,,,,approximation,texte2_terminale_raw.txt,corpus1
454,,,,,accord,texte2_terminale_raw.txt,corpus1
455,dinsecte,d'insectes,de;insecte,  de plus la supréstion des hais qui délimiter les exploitation a tuer un grand nombre d’éspéce <err>dinsecte</err> qui vivais dans ces hais,apostrophe,texte2_terminale_raw.txt,corpus1
456,,,,,accord,texte2_terminale_raw.txt,corpus1
457,vivais,vivaient,vivre,  de plus la supréstion des hais qui délimiter les exploitation a tuer un grand nombre d’éspéce dinsecte qui <err>vivais</err> dans ces hais,conjugaison,texte2_terminale_raw.txt,corpus1
458,hais,haies,haie,  de plus la supréstion des hais qui délimiter les exploitation a tuer un grand nombre d’éspéce dinsecte qui vivais dans ces <err>hais</err>,lettre muette,texte2_terminale_raw.txt,corpus1
459,insect,insectes,insecte, ces <err>insect</err> contribuer a la croisense des plante sans nécaisérment les détérioré .,lettre muette,texte2_terminale_raw.txt,corpus1
460,,,,,accord,texte2_terminale_raw.txt,corpus1
461,contribuer,contribuaient,contribuer, ces insect <err>contribuer</err> a la croisense des plante sans nécaisérment les détérioré .,approximation,texte2_terminale_raw.txt,corpus1
462,,,,,conjugaison,texte2_terminale_raw.txt,corpus1
463,a,à,à, ces insect contribuer <err>a</err> la croisense des plante sans nécaisérment les détérioré .,homophones,texte2_terminale_raw.txt,corpus1
464,croisense,croissance,croissance, ces insect contribuer a la <err>croisense</err> des plante sans nécaisérment les détérioré .,approximation,texte2_terminale_raw.txt,corpus1
465,,,,,phonétisation,texte2_terminale_raw.txt,corpus1
466,,,,,phonétisation,texte2_terminale_raw.txt,corpus1
467,plante,plantes,plante, ces insect contribuer a la croisense des <err>plante</err> sans nécaisérment les détérioré .,accord,texte2_terminale_raw.txt,corpus1
468,nécaisérment,nécessairement,nécessairement, ces insect contribuer a la croisense des plante sans <err>nécaisérment</err> les détérioré .,approximation,texte2_terminale_raw.txt,corpus1
469,,,,,approximation,texte2_terminale_raw.txt,corpus1
470,,,,,approximation,texte2_terminale_raw.txt,corpus1
471,,,,,phonétisation,texte2_terminale_raw.txt,corpus1
472,détérioré,détériorer,détériorer, ces insect contribuer a la croisense des plante sans nécaisérment les <err>détérioré</err> .,conjugaison,texte2_terminale_raw.txt,corpus1
473,humainement,Humainement,humainement,<err>humainement</err> parlent les meusure prise vis a vie de l’agriculture ne sont tres nefaste,majuscule,texte2_terminale_raw.txt,corpus1
474,parlent,parlant,parler,humainement <err>parlent</err> les meusure prise vis a vie de l’agriculture ne sont tres nefaste,approximation,texte2_terminale_raw.txt,corpus1
475,meusure,mesures,mesure,humainement parlent les <err>meusure</err> prise vis a vie de l’agriculture ne sont tres nefaste,phonétisation,texte2_terminale_raw.txt,corpus1
476,,,,,accord,texte2_terminale_raw.txt,corpus1
477,prise,prises,pris,humainement parlent les meusure <err>prise</err> vis a vie de l’agriculture ne sont tres nefaste,accord,texte2_terminale_raw.txt,corpus1
478,vis a vie,vis-à-vis,vis-à-vis,humainement parlent les meusure prise <err>vis a vie</err> de l’agriculture ne sont tres nefaste,trait d'union,texte2_terminale_raw.txt,corpus1
479,,,,,homophones,texte2_terminale_raw.txt,corpus1
480,,,,,trait d'union,texte2_terminale_raw.txt,corpus1
481,,,,,homophones,texte2_terminale_raw.txt,corpus1
482,ne,,,humainement parlent les meusure prise vis a vie de l’agriculture <err>ne</err> sont tres nefaste,omission mot,texte2_terminale_raw.txt,corpus1
483,tres,très,très,humainement parlent les meusure prise vis a vie de l’agriculture ne sont <err>tres</err> nefaste,approximation,texte2_terminale_raw.txt,corpus1
484,nefaste,néfastes,néfaste,humainement parlent les meusure prise vis a vie de l’agriculture ne sont tres <err>nefaste</err>,approximation,texte2_terminale_raw.txt,corpus1
485,,,,,accord,texte2_terminale_raw.txt,corpus1
486,dabord,d'abord,d'abord, tout <err>dabord</err> la modernisation massive a créé de nombreu licensiment car actuelment l’agriculture ne représente plus que 3 pourcent de la population active.,apostrophe,texte2_terminale_raw.txt,corpus1
487,nombreu,nombreux,nombreux, tout dabord la modernisation massive a créé de <err>nombreu</err> licensiment car actuelment l’agriculture ne représente plus que 3 pourcent de la population active.,accord,texte2_terminale_raw.txt,corpus1
488,licensiment,licenciement,licenciement, tout dabord la modernisation massive a créé de nombreu <err>licensiment</err> car actuelment l’agriculture ne représente plus que 3 pourcent de la population active.,lettre muette,texte2_terminale_raw.txt,corpus1
489,actuelment,actuellement,actuellement, tout dabord la modernisation massive a créé de nombreu licensiment car <err>actuelment</err> l’agriculture ne représente plus que 3 pourcent de la population active.,phonétisation,texte2_terminale_raw.txt,corpus1
490,,,,,phonétisation,texte2_terminale_raw.txt,corpus1
491,tout,Tous,tout, <err>tout</err> ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,majuscule,texte2_terminale_raw.txt,corpus1
492,,,,,homophones,texte2_terminale_raw.txt,corpus1
493,produit,produits,produit, tout ces <err>produit</err> chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,accord,texte2_terminale_raw.txt,corpus1
494,chimique,chimiques,chimique, tout ces produit <err>chimique</err> apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,accord,texte2_terminale_raw.txt,corpus1
495,apré,après,après, tout ces produit chimique <err>apré</err> etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,approximation,texte2_terminale_raw.txt,corpus1
496,,,,,lettre muette,texte2_terminale_raw.txt,corpus1
497,etre,être,être, tout ces produit chimique apré <err>etre</err> appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,approximation,texte2_terminale_raw.txt,corpus1
498,appliquer,appliqués,appliquer, tout ces produit chimique apré etre <err>appliquer</err> dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,accord,texte2_terminale_raw.txt,corpus1
499,,,,,accord,texte2_terminale_raw.txt,corpus1
500,rejeter,rejetés,rejeter, tout ces produit chimique apré etre appliquer dans la terre sont <err>rejeter</err> naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,accord,texte2_terminale_raw.txt,corpus1
501,,,,,accord,texte2_terminale_raw.txt,corpus1
502,naturelement,naturellement,naturellement, tout ces produit chimique apré etre appliquer dans la terre sont rejeter <err>naturelement</err> dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,approximation,texte2_terminale_raw.txt,corpus1
503,nape,nappes,nappe, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les <err>nape</err> fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,phonétisation,texte2_terminale_raw.txt,corpus1
504,,,,,accord,texte2_terminale_raw.txt,corpus1
505,fréatique,phréatiques,phréatique, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape <err>fréatique</err> si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,phonétisation,texte2_terminale_raw.txt,corpus1
506,,,,,accord,texte2_terminale_raw.txt,corpus1
507,si,ce,ce, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique <err>si</err> que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,phonétisation,texte2_terminale_raw.txt,corpus1
508,,,,,approximation,texte2_terminale_raw.txt,corpus1
509,que,qui,qui, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si <err>que</err> dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,approximation,texte2_terminale_raw.txt,corpus1
510,qualiter,qualité,qualité, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la <err>qualiter</err> de l’eau lui donne un tres movais gout et la rand movaise pour la santer .,phonétisation,texte2_terminale_raw.txt,corpus1
511,tres,très,très, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un <err>tres</err> movais gout et la rand movaise pour la santer .,approximation,texte2_terminale_raw.txt,corpus1
512,movais,mauvais,mauvais, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres <err>movais</err> gout et la rand movaise pour la santer .,phonétisation,texte2_terminale_raw.txt,corpus1
513,rand,rend,rendre, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la <err>rand</err> movaise pour la santer .,phonétisation,texte2_terminale_raw.txt,corpus1
514,movaise,mauvaise,mauvais, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand <err>movaise</err> pour la santer .,phonétisation,texte2_terminale_raw.txt,corpus1
515,santer,santé,santé, tout ces produit chimique apré etre appliquer dans la terre sont rejeter naturelement dans les nape fréatique si que dégrade considérablement la qualiter de l’eau lui donne un tres movais gout et la rand movaise pour la <err>santer</err> .,phonétisation,texte2_terminale_raw.txt,corpus1
516,la,La,le, <err>la</err> suprétion des hais qui délimite les exploitation empéche ausemploiyer de voire les c’est limite ce qui donne a ces enploiyer une inprésion de terrin a perte de vue et est tres dépriment l’aure de leur travaille ,majuscule,texte2_terminale_raw.txt,corpus1
517,suprétion,suppression,suppression, la <err>suprétion</err> des hais qui délimite les exploitation empéche ausemploiyer de voire les c’est limite ce qui donne a ces enploiyer une inprésion de terrin a perte de vue et est tres dépriment l’aure de leur travaille ,phonétisation,texte2_terminale_raw.txt,corpus1
518,,,,,approximation,texte2_terminale_raw.txt,corpus1
519,,,,,phonétisation,texte2_terminale_raw.txt,corpus1
520,hais,haies,haie, la suprétion des <err>hais</err> qui délimite les exploitation empéche ausemploiyer de voire les c’est limite ce qui donne a ces enploiyer une inprésion de terrin a perte de vue et est tres dépriment l’aure de leur travaille ,lettre muette,texte2_terminale_raw.txt,corpus1
521,délimite,délimitent,délimiter, la suprétion des hais qui <err>délimite</err> les exploitation empéche ausemploiyer de voire les c’est limite ce qui donne a ces enploiyer une inprésion de terrin a perte de vue et est tres dépriment l’aure de leur travaille ,approximation,texte2_terminale_raw.txt,corpus1
522,exploitation,exploitations,exploitation, la suprétion des hais qui délimite les <err>exploitation</err> empéche ausemploiyer de voire les c’est limite ce qui donne a ces enploiyer une inprésion de terrin a perte de vue et est tres dépriment l’aure de leur travaille ,accord,texte2_terminale_raw.txt,corpus1
523,empéche,empêche,empêcher, la suprétion des hais qui délimite les exploitation <err>empéche</err> ausemploiyer de voire les c’est limite ce qui donne a ces enploiyer une inprésion de terrin a perte de vue et est tres dépriment l’aure de leur travaille ,approximation,texte2_terminale_raw.txt,corpus1
